81,23.53,195.615
76,74.24,636.743
31,31.02,426.326
97,16.67,916.468
10,93.35,561.272
38,22.18,1786.887
1,41.07,997.996
495,89.66,713.621
85,98.61,34.862
63,10.94,334.77
95,20.74,527.329
55,7.21,948.995
500,89.79,300.455
36,13.18,714.618
142,79.38,5360.821
66,680.26,296.416
61,22.61,742.247
86,25.68,451.447
53,38.32,144.835
33,57.95,839.13
18,38.64,268.941
45,51.55,541.145
56,4.95,794.546
230,636.03,154.894
400,14.13,509.925
28,34.51,684.818
72,19.36,487.141
12,64.38,957.793
70,82.04,893.434
26,49.85,895.447
57,78.42,698.282
92,36.09,163.727
350,91.56,762.594
687,12.64,475.282
20,75.31,631.33
9,99.91,464.769
69,85.97,569.96
834,44.09,412.122
4,89.23,363.459
11,31.88,407.892
48,54.88,113.285
42,94.78,432.327
78,14.74,255.984
73,50.59,662.189
54,46.69,825.456
87,67.66,466.888
24,82.89,569.392
30,27.62,992.684
64,28.53,2840.895
32,80.24,572.121
5,5.32,130.927
21,847.86,889.765
46,77.65,680.517
79,43.12,186.769
74,1.36,781.101
59,17.96,722.798
856,61.92,812.915
47,15.72,993.214
93,63.42,249.768
85,83.38,565.254
88,16.61,478.893
84,63.81,122.281
50,856.58,571.516
2,53.46,861.82
98,66.71,158.545
62,68.3,529.163
91,7.39,309.491
44,74.8,710.342
829,21.48,509.695
7,57.19,692.284
37,74.63,468.276
29,29.1,798.117
90,50.76,676.96
39,13.41,423.183
71,49.46,327.127
6,95.47,916.415
68,76.63,720.512
772,60.04,879.295
80,64.56,877.424
1,365.53,789.943
52,72.86,363.525
43,62.53,957.284
19,68.94,7015.341
52,38.66,544.514
3,76.61,193.747
51,78.1,195.83
17,10.91,407.273
34,49.83,826.465
654,50.58,513.235
22,84.9,987.348
41,6.81,394.383
60,960.51,855.485
29,16.22,744.871
65,84.19,458.132
94,44.49,1257.642
13,52.27,878.352
58,89.29,355.537
89,19.36,487.141
12,64.380,97.793
70,823.04,8932.434
